--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| No    | ID         | Type                 | Name                           | Quantity | Price      | Product Image (Source)                             
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 1     | KOR0001    | Food                 | Kimbap                         | 50       | 25000      | https://bom.so/4nsa3M                              
| 2     | KOR0002    | Food                 | Tokbokki                       | 35       | 25000      | https://bom.so/gRgrMk                              
| 3     | PIZ0001    | Food                 | Pizza Seafood                  | 150      | 37000      | https://bom.so/ibWk4q                              
| 4     | SAL0001    | Food                 | Salad                          | 75       | 25000      | https://bom.so/ZHgkss                              
| 5     | SAW0001    | Food                 | Sandwich Jambon                | 50       | 25000      | https://bom.so/1HpRSf                              
| 6     | SAW0002    | Food                 | Sandwich Eggs                  | 50       | 25000      | https://bom.so/WLh70d                              
| 7     | SNA0001    | Food                 | Snack Doritos Cheese           | 200      | 19000      | https://bom.so/MaqWpM                              
| 8     | SNA0002    | Food                 | Dew-wetted Rice Paper          | 40       | 25000      | https://bom.so/gemFeQ                              
| 9     | ICR0001    | Food                 | Bing Chilling Choco            | 100      | 15000      | https://bom.so/MUpZ6C                              
| 10    | ANI0001    | Food                 | Memorization Bread             | 30       | 1000       | https://bom.so/X0aIg0                              
| 11    | ANI0002    | Food                 | Ramen Noodle Naruto            | 35       | 45000      | https://bom.so/PsyCwZ                              
| 12    | FAS0001    | Food                 | Combo Skewer                   | 25       | 50000      | https://bom.so/poRhP0                              
| 13    | FAS0002    | Food                 | Noodles Mixed Eggs             | 60       | 18000      | https://bom.so/7dQxy0                              
| 14    | FAS0003    | Food                 | Noodles Mixed Sausage          | 60       | 25000      | https://bom.so/N6ssir                              
| 15    | FAS0004    | Food                 | BBQ Bao                        | 50       | 22000      | https://bom.so/gl5VLp                              
| 16    | FAS0005    | Food                 | Meat Bao                       | 50       | 18000      | https://bom.so/QQPU8a                              
| 17    | FAS0006    | Food                 | Banh Gio                       | 55       | 13000      | https://bom.so/Hzovpt                              
| 18    | FAS0007    | Food                 | Beef Bread                     | 30       | 36000      | https://bom.so/MROCjh                              
| 19    | FAS0008    | Food                 | Meatball Bread                 | 35       | 25000      | https://bom.so/EoDUQh                              
| 20    | FAS0009    | Food                 | Chicken Bread                  | 30       | 30000      | https://bom.so/er84Mh                              
| 21    | MIN0001    | Drink                | Lavie Mineral Water            | 200      | 6000       | https://bom.so/i3ftNJ                              
| 22    | CAN0001    | Drink                | Coca Cola                      | 300      | 12000      | https://bom.so/knexmk                              
| 23    | CAN0002    | Drink                | Pepsi                          | 250      | 12000      | https://bom.so/QoXgjw                              
| 24    | BOT0001    | Drink                | Zero Degrees Green Tea         | 100      | 14000      | https://bom.so/ym49LD                              
| 25    | BOT0002    | Drink                | Sting Red                      | 100      | 12000      | https://bom.so/UoevJq                              
| 26    | MIL0001    | Drink                | Dalat Milk                     | 100      | 10000      | https://bom.so/ZLZ4Fe                              
| 27    | MIL0002    | Drink                | Vinamilk                       | 150      | 8000       | https://bom.so/heHCe8                              
| 28    | ACO0001    | Drink                | Soju Green Grape               | 120      | 70000      | https://bom.so/mXI82Y                              
| 29    | ACO0002    | Drink                | Soju Classic                   | 120      | 70000      | https://bom.so/iVz5Cb                              
| 30    | COF0001    | Drink                | Milk Coffee                    | 90       | 20000      | https://bom.so/qyH5Vq                              
| 31    | MTE0001    | Drink                | Bubble Milk Tea                | 80       | 25000      | https://bom.so/LCsBmI                              
| 32    | MTE0002    | Drink                | Matcha Milk Tea                | 80       | 30000      | https://bom.so/qQdYp0                              
| 33    | TEA0001    | Drink                | Peach Tea                      | 60       | 25000      | https://bom.so/2XAeLS                              
| 34    | TEA0002    | Drink                | Lemon Tea                      | 70       | 20000      | https://bom.so/P6e6ks                              
| 35    | TEA0003    | Drink                | Lychee Tea                     | 60       | 25000      | https://bom.so/eOPBpB                              
| 36    | JUI0001    | Drink                | Apple Juice                    | 90       | 65000      | https://bom.so/K2YuDM                              
| 37    | JUI0002    | Drink                | Orange Juice                   | 100      | 65000      | https://bom.so/aSRIuq                              
| 38    | ICE0001    | Drink                | Ice Cup                        | 20       | 5000       | https://bom.so/df191o                              
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
